Jenis_Hewan,Usia,Jenis_Kelamin,Berat_Badan_kg,Gejala_1,Gejala_2,Gejala_3,Gejala_4,Durasi,Nafsu_Makan_Hilang,Muntah,Diare,Batuk,Kesulitan_Bernafas,Pincang,Lesi_Kulit,Keluar_Lendir_Hidung,Keluar_Cairan_Mata,Suhu_Tubuh,Detak_Jantung,Prediksi_Penyakit
Kucing,3,Betina,5.0,Lesu,Keluar Cairan Mata,Muntah,Demam,5 hari,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,39.0°C,130,Panleukopenia
Anjing,2,Betina,12.0,Lesu,Kehilangan Nafsu Makan,Batuk,Muntah,4 hari,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,39.4°C,115,Batuk Kennel
Kucing,1,Jantan,4.2,Muntah,Diare,Lesu,Kehilangan Nafsu Makan,3 hari,Ya,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,38.8°C,140,Panleukopenia
Kuda,8,Betina,490.0,Pincang,Demam,Batuk,Keluar Lendir Hidung,1 minggu,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,39.9°C,75,Strangles
Sapi,5,Jantan,650.0,Demam,Lesu,Penurunan Produksi Susu,Kehilangan Nafsu Makan,5 hari,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,39.7°C,80,Penyakit Pernapasan Sapi
Anjing,4,Betina,3.5,Lesu,Muntah,Diare,Batuk,2 hari,Ya,Ya,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,39.1°C,130,Parvovirus Anjing
Kucing,3,Jantan,5.0,Lesi Kulit,Kehilangan Nafsu Makan,Lesu,Muntah,10 hari,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,38.6°C,155,Kurap
Anjing,6,Jantan,28.0,Pincang,Demam,Lesi Kulit,Lesu,8 hari,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,39.3°C,120,Penyakit Bawaan Caplak
Kuda,10,Jantan,700.0,Batuk,Keluar Lendir Hidung,Kesulitan Bernafas,Demam,2 minggu,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,40.2°C,85,Influenza Kuda
Kucing,5,Betina,4.8,Lesu,Keluar Cairan Mata,Kehilangan Nafsu Makan,Keluar Lendir Hidung,1 minggu,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,39.0°C,150,Infeksi Saluran Pernapasan Atas
Sapi,3,Betina,590.0,Penurunan Produksi Susu,Demam,Kehilangan Nafsu Makan,Lesu,7 hari,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,39.5°C,70,Mastitis
Kuda,7,Jantan,450.0,Lesu,Kehilangan Nafsu Makan,Demam,Kesulitan Bernafas,5 hari,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,39.7°C,90,Influenza Kuda
Anjing,2,Betina,8.0,Batuk,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Lesu,4 hari,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,39.1°C,125,Batuk Kennel
Kucing,3,Jantan,5.5,Lesu,Muntah,Diare,Dehidrasi,3 hari,Ya,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,39.3°C,140,Panleukopenia
Sapi,5,Betina,700.0,Demam,Penurunan Produksi Susu,Lesu,Keluar Lendir Hidung,7 hari,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,39.8°C,80,Penyakit Pernapasan Sapi
Anjing,4,Jantan,30.0,Pincang,Pembengkakan,Kehilangan Nafsu Makan,Demam,10 hari,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,39.5°C,110,Artritis
Kucing,2,Betina,4.5,Batuk,Keluar Lendir Hidung,Keluar Cairan Mata,Bersin,5 hari,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Ya,38.8°C,150,Herpesvirus Kucing
Kuda,9,Betina,480.0,Batuk,Keluar Lendir Hidung,Demam,Kesulitan Bernafas,6 hari,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,39.9°C,85,Rinoneumonitis Kuda
Anjing,1,Jantan,3.0,Muntah,Diare,Lesu,Demam,3 hari,Ya,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,39.4°C,135,Parvovirus
Kucing,6,Jantan,6.0,Kehilangan Nafsu Makan,Penurunan Berat Badan,Muntah,Lesu,2 minggu,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,39.0°C,160,Leukemia Kucing
Sapi,3,Betina,650.0,Lesu,Demam,Penurunan Produksi Susu,Keluar Lendir Hidung,8 hari,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,39.6°C,75,Mastitis
Anjing,5,Jantan,30.0,Lesu,Kesulitan Bernafas,Batuk,Kehilangan Nafsu Makan,6 hari,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,39.6°C,125,Penyakit Cacing Jantung
Kucing,6,Betina,7.5,Kehilangan Nafsu Makan,Muntah,Diare,Lesi Kulit,4 hari,Ya,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,38.9°C,145,Peritonitis Infeksius Kucing
Kuda,9,Jantan,500.0,Keluar Lendir Hidung,Batuk,Kesulitan Bernafas,Lesu,10 hari,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,40.0°C,78,Equine Viral Arteritis
Sapi,4,Betina,580.0,Kehilangan Nafsu Makan,Diare,Lesu,Penurunan Produksi Susu,7 hari,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,39.4°C,82,Johne's Disease
Anjing,2,Betina,9.0,Demam,Muntah,Lesu,Lesi Kulit,3 hari,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,39.2°C,132,Distemper Anjing
Kucing,8,Jantan,4.6,Kehilangan Nafsu Makan,Muntah,Keluar Cairan Mata,Lesu,2 hari,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Ya,39.0°C,140,Konjungtivitis
Kuda,6,Betina,520.0,Pincang,Demam,Lesi Kulit,Kehilangan Nafsu Makan,5 hari,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,39.8°C,76,Piroplasmosis Kuda
Sapi,3,Jantan,620.0,Diare,Lesu,Kehilangan Nafsu Makan,Penurunan Produksi Susu,8 hari,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,39.7°C,79,Salmonelosis
Anjing,7,Jantan,5.5,Batuk,Kesulitan Bernafas,Lesu,Kehilangan Nafsu Makan,2 minggu,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,39.5°C,120,Bronkitis Kronis
Kucing,4,Betina,3.2,Keluar Cairan Mata,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Lesu,1 minggu,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,39.3°C,150,Infeksi Saluran Pernapasan Atas Kucing
Anjing,4,Betina,28.0,Lesu,Muntah,Diare,Kehilangan Nafsu Makan,5 hari,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,39.2°C,130,Parvovirus
Kucing,3,Jantan,5.5,Kehilangan Nafsu Makan,Batuk,Keluar Lendir Hidung,Keluar Cairan Mata,4 hari,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Ya,38.7°C,145,Infeksi Saluran Pernapasan Atas Kucing
Kuda,10,Betina,450.0,Pincang,Demam,Sendi Bengkak,Lesu,8 hari,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,39.4°C,75,Artritis Kuda
Sapi,6,Jantan,600.0,Batuk,Keluar Lendir Hidung,Kesulitan Bernafas,Demam,7 hari,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,39.9°C,82,Penyakit Pernapasan Sapi
Anjing,5,Jantan,22.0,Muntah,Kehilangan Nafsu Makan,Demam,Diare,3 hari,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,39.6°C,138,Gastroenteritis
Kucing,2,Betina,4.0,Bersin,Keluar Cairan Mata,Kehilangan Nafsu Makan,Lesu,2 hari,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Ya,39.0°C,135,Herpesvirus Kucing
Kuda,12,Jantan,500.0,Pincang,Demam,Sendi Bengkak,Reduced Appetite,5 hari,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,39.7°C,78,Equine Infectious Anemia
Sapi,3,Betina,570.0,Lesu,Diare,Kehilangan Nafsu Makan,Dehidrasi,6 hari,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,39.1°C,80,Diare Virus Sapi
Anjing,8,Jantan,15.0,Batuk,Kesulitan Bernafas,Lesu,Kehilangan Nafsu Makan,1 minggu,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Ya,39.3°C,126,Batuk Kennel
Kucing,5,Betina,4.5,Muntah,Diare,Kehilangan Nafsu Makan,Dehidrasi,3 hari,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,38.5°C,142,Pankreatitis
Kuda,15,Jantan,600.0,Kehilangan Nafsu Makan,Lesu,Kesulitan Bernafas,Batuk,10 hari,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,39.8°C,70,Pneumonia Kuda
Sapi,7,Betina,620.0,Demam,Batuk,Lesu,Penurunan Produksi Susu,5 hari,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,39.6°C,81,Mastitis
Anjing,9,Jantan,25.0,Lesu,Muntah,Diare,Kehilangan Nafsu Makan,4 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,39.1°C,124,Parvovirus Anjing
Kucing,4,Betina,5.0,Keluar Cairan Mata,Keluar Lendir Hidung,Batuk,Lesu,6 hari,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,38.6°C,148,Calicivirus Kucing
Kuda,11,Betina,520.0,Pincang,Sendi Bengkak,Reduced Appetite,Penurunan Berat Badan,7 hari,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,39.7°C,77,Laminitis
Sapi,2,Jantan,550.0,Diare,Lesu,Kehilangan Nafsu Makan,Dehidrasi,4 hari,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,39.5°C,85,Kriptosporidiosis
Anjing,3,Betina,17.0,Batuk,Kesulitan Bernafas,Demam,Keluar Lendir Hidung,8 hari,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya,39.4°C,129,Infeksi Bordetella
Kucing,6,Jantan,4.2,Muntah,Kehilangan Nafsu Makan,Lesu,Penurunan Berat Badan,9 hari,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,38.9°C,146,Penyakit Radang Usus
Kuda,7,Jantan,540.0,Pincang,Sendi Bengkak,Lesu,Penurunan Berat Badan,6 hari,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,39.6°C,76,Penyakit Sendi Degeneratif
Sapi,5,Betina,620.0,Demam,Diare,Lesu,Kehilangan Nafsu Makan,4 hari,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,39.8°C,83,Virus Leukemia Sapi
Anjing,3,Jantan,2.5,Bersin,Keluar Cairan Mata,Kesulitan Bernafas,Lesu,5 hari,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,39.5°C,131,Rinitis Alergi
Kucing,5,Betina,3.0,Muntah,Kehilangan Nafsu Makan,Diare,Penurunan Berat Badan,6 hari,Ya,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Tidak,38.7°C,143,Gastroenteritis
Kuda,10,Betina,680.0,Lesu,Demam,Kehilangan Nafsu Makan,Penurunan Berat Badan,10 hari,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,39.9°C,74,Leptospirosis Kuda
Sapi,4,Jantan,590.0,Kehilangan Nafsu Makan,Lesu,Diare,Dehidrasi,5 hari,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Tidak,39.3°C,84,Koksidiosis Sapi
Anjing,7,Betina,8.0,Muntah,Diare,Penurunan Berat Badan,Kehilangan Nafsu Makan,3 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,39.2°C,120,Gastroenteritis
Kucing,9,Jantan,6.5,Lesu,Kehilangan Nafsu Makan,Penurunan Berat Badan,Dehidrasi,8 hari,Ya,Ya,Ya,Tidak,Tidak,Tidak,Ya,Ya,Tidak,39.0°C,140,Penyakit Ginjal Kucing
Kuda,14,Jantan,520.0,Batuk,Kesulitan Bernafas,Demam,Penurunan Berat Badan,12 hari,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,39.7°C,72,Influenza Kuda
Sapi,6,Betina,600.0,Demam,Keluar Lendir Hidung,Penurunan Produksi Susu,Lesu,5 hari,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,39.4°C,86,Virus Sinsitial Pernapasan Sapi
Anjing,11,Jantan,35.0,Lesu,Kehilangan Nafsu Makan,Demam,Muntah,7 hari,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,39.3°C,118,Distemper Anjing
Kucing,8,Betina,5.0,Batuk,Keluar Lendir Hidung,Keluar Cairan Mata,Kehilangan Nafsu Makan,4 hari,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,38.9°C,147,Rinotrakeitis Virus Kucing
Anjing,6,Betina,30.0,Batuk,Kesulitan Bernafas,Lesu,Kehilangan Nafsu Makan,6 hari,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Ya,39.4°C,125,Batuk Kennel
Kucing,4,Jantan,4.8,Bersin,Keluar Cairan Mata,Kehilangan Nafsu Makan,Lesu,5 hari,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,38.7°C,137,Herpesvirus Kucing
Kuda,10,Betina,510.0,Pincang,Demam,Sendi Bengkak,Reduced Appetite,9 hari,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,39.8°C,74,Laminitis Kuda
Sapi,7,Jantan,590.0,Batuk,Keluar Lendir Hidung,Kesulitan Bernafas,Lesu,4 hari,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,39.9°C,80,Pneumonia Sapi
Anjing,5,Jantan,10.0,Muntah,Diare,Kehilangan Nafsu Makan,Demam,3 hari,Ya,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Ya,Tidak,39.2°C,132,Gastroenteritis
Kucing,3,Betina,4.2,Lesu,Muntah,Diare,Dehidrasi,6 hari,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,39.1°C,145,Panleukopenia Kucing
Kuda,13,Jantan,490.0,Demam,Keluar Lendir Hidung,Kesulitan Bernafas,Lesu,8 hari,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,39.6°C,78,Influenza Kuda
Sapi,8,Betina,630.0,Kehilangan Nafsu Makan,Penurunan Berat Badan,Lesu,Reduced Milk Production,7 hari,Tidak,Ya,Tidak,Tidak,Ya,Ya,Ya,Tidak,Tidak,39.5°C,83,Johne's Disease
Anjing,7,Betina,35.0,Muntah,Diare,Kehilangan Nafsu Makan,Dehidrasi,3 hari,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Ya,39.0°C,127,Parvovirus
Kucing,2,Jantan,5.5,Batuk,Bersin,Keluar Lendir Hidung,Keluar Cairan Mata,4 hari,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,38.6°C,144,Calicivirus Kucing
Kuda,14,Betina,520.0,Sendi Bengkak,Pincang,Demam,Kehilangan Nafsu Makan,10 hari,Tidak,Tidak,Ya,Ya,Ya,Tidak,Tidak,Tidak,Tidak,39.7°C,75,Artritis Kuda
Sapi,5,Jantan,600.0,Diare,Dehidrasi,Lesu,Kehilangan Nafsu Makan,5 hari,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Ya,39.4°C,84,Salmonelosis
Anjing,4,Betina,7.0,Batuk,Kesulitan Bernafas,Kehilangan Nafsu Makan,Lesu,6 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,39.3°C,133,Flu Anjing
Kucing,5,Jantan,3.7,Muntah,Diare,Dehidrasi,Penurunan Berat Badan,3 hari,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,38.8°C,148,Pankreatitis
Kuda,12,Jantan,600.0,Sendi Bengkak,Pincang,Kehilangan Nafsu Makan,Penurunan Berat Badan,5 hari,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,39.9°C,72,Equine Infectious Anemia
Sapi,3,Betina,570.0,Demam,Keluar Lendir Hidung,Lesu,Batuk,4 hari,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Ya,39.8°C,86,Virus Sinsitial Pernapasan
Anjing,9,Jantan,2.0,Muntah,Kehilangan Nafsu Makan,Diare,Lesu,2 hari,Ya,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Ya,39.1°C,128,Gastroenteritis
Kucing,4,Betina,3.3,Keluar Cairan Mata,Keluar Lendir Hidung,Bersin,Batuk,6 hari,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,38.5°C,138,Herpesvirus Kucing
Kuda,16,Betina,530.0,Penurunan Berat Badan,Kehilangan Nafsu Makan,Lesu,Demam,8 hari,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,39.6°C,71,Penyakit Cushing Kuda
Sapi,6,Jantan,620.0,Penurunan Berat Badan,Reduced Milk Production,Lesu,Kehilangan Nafsu Makan,7 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,39.4°C,87,Tuberkulosis
Anjing,8,Betina,20.0,Muntah,Diare,Penurunan Berat Badan,Dehidrasi,4 hari,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,39.0°C,120,Pankreatitis
Kucing,6,Jantan,4.0,Lesu,Muntah,Kehilangan Nafsu Makan,Penurunan Berat Badan,5 hari,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,38.9°C,149,Hipertiroidisme
Kuda,10,Jantan,450.0,Pincang,Sendi Bengkak,Reduced Appetite,Penurunan Berat Badan,9 hari,Tidak,Tidak,Ya,Ya,Ya,Tidak,Tidak,Ya,Tidak,39.8°C,76,Artritis Kuda
Sapi,3,Betina,580.0,Diare,Dehidrasi,Kehilangan Nafsu Makan,Lesu,5 hari,Ya,Ya,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Ya,39.3°C,85,Koksidiosis
Anjing,6,Jantan,35.0,Lesu,Kehilangan Nafsu Makan,Demam,Muntah,6 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,39.5°C,130,Hepatitis Anjing
Kucing,7,Betina,4.4,Keluar Lendir Hidung,Keluar Cairan Mata,Bersin,Lesu,4 hari,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,38.6°C,142,Infeksi Saluran Pernapasan Atas
Kuda,11,Betina,530.0,Penurunan Berat Badan,Sendi Bengkak,Reduced Appetite,Demam,8 hari,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,39.7°C,74,Ensefalitis Kuda
Sapi,5,Jantan,610.0,Keluar Lendir Hidung,Batuk,Kesulitan Bernafas,Demam,3 hari,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Ya,39.9°C,82,Influenza Sapi
Anjing,8,Betina,27.0,Muntah,Lesu,Diare,Kehilangan Nafsu Makan,4 hari,Ya,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Tidak,39.2°C,131,Gastroenteritis
Kucing,4,Jantan,4.5,Keluar Cairan Mata,Lesu,Keluar Lendir Hidung,Bersin,5 hari,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,38.8°C,140,Calicivirus Kucing
Anjing,5,Jantan,32.0,Muntah,Diare,Kehilangan Nafsu Makan,Lesu,3 hari,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Ya,39.2°C,130,Gastroenteritis
Kucing,7,Betina,4.1,Bersin,Keluar Lendir Hidung,Keluar Cairan Mata,Lesu,4 hari,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,Ya,38.9°C,142,Infeksi Saluran Pernapasan Atas Kucing
Kuda,15,Jantan,480.0,Pincang,Sendi Bengkak,Kehilangan Nafsu Makan,Demam,7 hari,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,Tidak,39.7°C,75,Artritis Kuda
Sapi,6,Betina,620.0,Penurunan Berat Badan,Reduced Milk Production,Kehilangan Nafsu Makan,Lesu,10 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Ya,39.4°C,85,Johne's Disease
Kelinci,3,Betina,1.8,Bersin,Keluar Lendir Hidung,Kehilangan Nafsu Makan,Lesu,5 hari,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,38.6°C,160,Snuffles
Domba,4,Jantan,75.0,Batuk,Kesulitan Bernafas,Keluar Lendir Hidung,Demam,4 hari,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,40.0°C,78,Pneumonia
Kambing,5,Betina,68.0,Diare,Dehidrasi,Lesu,Kehilangan Nafsu Makan,6 hari,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Tidak,Ya,39.3°C,82,Koksidiosis
Babi,2,Jantan,110.0,Muntah,Diare,Kehilangan Nafsu Makan,Demam,3 hari,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,39.5°C,85,Diare Epidemik Babi
Anjing,4,Betina,9.0,Lesu,Muntah,Kehilangan Nafsu Makan,Dehidrasi,3 hari,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,39.0°C,132,Parvovirus
Kucing,6,Jantan,4.2,Batuk,Bersin,Keluar Cairan Mata,Lesu,4 hari,Ya,Tidak,Tidak,Ya,Tidak,Ya,Ya,Tidak,Ya,38.7°C,140,Calicivirus Kucing
Kuda,12,Betina,600.0,Demam,Sendi Bengkak,Kehilangan Nafsu Makan,Pincang,6 hari,Tidak,Tidak,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,39.6°C,77,Laminitis Kuda
Sapi,8,Jantan,580.0,Batuk,Kesulitan Bernafas,Lesu,Keluar Lendir Hidung,5 hari,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Ya,40.0°C,83,Penyakit Pernapasan Sapi
Kelinci,2,Jantan,1.6,Diare,Kehilangan Nafsu Makan,Dehidrasi,Penurunan Berat Badan,3 hari,Tidak,Ya,Tidak,Ya,Tidak,Ya,Tidak,Tidak,Ya,38.5°C,155,Enteritis
Domba,3,Betina,80.0,Penurunan Berat Badan,Lesu,Kehilangan Nafsu Makan,Reduced Wool Growth,8 hari,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,39.8°C,77,Scrapie
Kambing,4,Jantan,72.0,Demam,Lesu,Penurunan Berat Badan,Kehilangan Nafsu Makan,7 hari,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,39.7°C,83,Artritis Ensefalitis Kaprin
Babi,3,Betina,115.0,Bersin,Batuk,Keluar Lendir Hidung,Kesulitan Bernafas,5 hari,Ya,Tidak,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,40.0°C,80,Influenza Babi
Anjing,5,Jantan,11.0,Muntah,Diare,Lesu,Penurunan Berat Badan,3 hari,Ya,Tidak,Ya,Tidak,Tidak,Ya,Tidak,Ya,Tidak,39.2°C,134,Pankreatitis
Kucing,8,Betina,4.5,Keluar Cairan Mata,Keluar Lendir Hidung,Bersin,Lesu,6 hari,Ya,Tidak,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,38.6°C,139,Rinotrakeitis Virus Kucing
